genus	genome_size
Ignavigranum	1949382
Ignicoccus	1459086
Ilumatobacter	4830181
Ilyobacter	3132314
Immundisolibacter	3243537
Imperialibacter	6747663
Imtechella	3113111
Indioceanicola	5374982
Infirmifilum	1625846
Inhella	4084412
Intestinibacillus	3035319
Intestinibacter	3006269
Intestinibaculum	3212924
Intestinimonas	3300490
Intrasporangium	4024713
Iocasia	3926493
Iodobacter	4232705
Isoalcanivorax	4168427
Isoptericola	3570471
Isorropodon	1447997
Isosphaera	5529304
Janibacter	3465419
Jannaschia	3772399
Janthinobacterium	6070712
Jatrophihabitans	4354654
Jejubacter	5182800
Jeongeupia	3593728
Jeotgalibaca	2426113
Jeotgalicoccus	2238212
Jiella	5945794
Jonesia	2759434
Kaistella	3007310
Kaistia	5352285
Kangiella	2636722
Kaustia	4630536
Keratinibaculum	2307997
Kerstersia	3945801
Ketobacter	4914503
Ketogulonicigenium	3130551
Kibdelosporangium	11759770
Kineobactrum	4649503
Kineococcus	5071811
Kineothrix	4329371
Kingella	2148560
Kiritimatiella	2949723
Kitasatospora	8612753
Klebsiella	5696289
Kluyvera	5006724
Kluyveromyces	10830272
Knoellia	4163720
Kocuria	3133686
Koleobacter	3102782
Komagataeibacter	3700715
Komagataella	9383226
Kordia	5491688
Kordiimonas	3798051
Kosakonia	5117182
Kosmotoga	2235648
Kovacikia	8564336
Kozakia	3316508
Kribbella	8459282
Kroppenstedtia	3455405
Ktedonosporobacter	11340617
Kurthia	3064526
Kushneria	3625478
Kutzneria	10632004
Kyrpidia	3330490
Kytococcus	2653991
Labilibaculum	5718991
Labilithrix	12191466
Labrenzia	6495208
Labrys	7551292
Laceyella	3383707
Lachnoanaerobaculum	2899980
Lachnoclostridium	4174174
Lachnospira	2772782
Lacibacter	5119652
Lacimicrobium	4378835
Lacinutrix	3609626
Lacipirellula	6922258
Lacrimispora	4879749
Lacticaseibacillus	3052584
Lactiplantibacillus	3329126
Lactobacillus	2028761
Lactococcus	2401614
Lacunisphaera	4199284
Lancefieldella	1571863
Lapidilactobacillus	1836976
Laribacter	3339291
Larkinella	6564943
Latilactobacillus	2007723
Lautropia	3167019
Lawsonella	1887852
Lawsonia	1712413
Lawsonibacter	3126090
Leadbettera	3855671
Leadbetterella	4059653
Leclercia	5012127
Lederbergia	4384366
Leeuwenhoekiella	4024261
Legionella	3501501
Leifsonia	3763301
Leisingera	4658477
Lelliottia	4702842
Leminorella	4096025
Lentibacillus	3882125
Lentibacter	3128031
Lentilactobacillus	2495688
Lentilitoribacter	3910419
Lentisphaera	5457903
Lentzea	10004929
Leptodesmis	5348817
Leptogranulimonas	2001235
Leptolyngbya	6112316
Leptospira	4508649
Leptospirillum	2501401
Leptothermofonsia	6426061
Leptothrix	4909403
Leptotrichia	2404936
Leucobacter	3290112
Leuconostoc	1965388
Levilactobacillus	2639134
Lewinella	7507556
Liberibacter	1513389
Lichenicola	6061304
Lichenihabitans	4533901
Ligilactobacillus	2143153
Lignipirellula	9565229
Limihaloglobus	3868357
Limimaricola	4222525
Limnobacter	3417068
Limnobaculum	4236857
Limnochorda	3817036
Limnoglobus	9378099
Limnohabitans	2867677
Limnospira	6423694
Limosilactobacillus	2111460
Liquorilactobacillus	2605492
Listeria	2968061
Litorilituus	4275717
Litorivicinus	2346037
Loigolactobacillus	2915399
Loktanella	3950642
Lonepinella	2188187
Longicatena	3103757
Lonsdalea	3906377
Luteibacter	4782999
Luteimicrobium	4208275
Luteimonas	3142273
Luteipulveratus	5420910
Luteitalea	6974649
Luteithermobacter	3145891
Luteolibacter	6043996
Lutibacter	3641908
Lutimonas	3534456
Lysinibacillus	4776326
Lysinibacter	2918483
Lysobacter	4609441
Macrococcoides	2303085
Macrococcus	2245419
Mageeibacillus	1809746
Magnetococcus	4719581
Magnetospira	4052370
Magnetospirillum	4444325
Mahella	3135972
Maioricimonas	7744989
Malaciobacter	2842546
Malacoplasma	1295882
Malassezia	7973772
Maliibacterium	2422126
Mameliella	5832665
Mammaliicoccus	2809350
Mangrovibacillus	3153416
Mangrovibacter	5765145
Mangrovimonas	3823913
Mangrovivirga	4661901
Mannheimia	2594420
Maribacter	4272787
Maribellus	7811310
Maricaulis	3255589
Marichromatium	3779112
Maridesulfovibrio	4289847
Mariluticola	3446865
Marinagarivorans	5311067
Mariniblastus	6570840
Marinicauda	3424851
Mariniflexile	4689876
Marinilactibacillus	2767908
Marinilongibacter	4635932
Marinimicrobium	4207651
Mariniplasma	1898628
Marinithermus	2269167
Marinitoga	2326405
Marinobacter	4410092
Marinobacterium	4073726
Marinomonas	4277575
Marinovum	5477406
Mariprofundus	2419637
Marisediminicola	3352609
Maritalea	3703346
Marivirga	4385433
Marivivens	3154228
Marixanthomonas	2959668
Marnyiella	2613493
Martelella	5425437
Marvinbryantia	4577574
Massilia	6112107
Massilistercora	2769591
Mediterraneibacter	3435465
Megamonas	2393587
Megasphaera	2615019
Megavirus	1248743
Meiothermus	3085399
Melaminivora	3711388
Melioribacter	3300414
Melissococcus	2072468
Melittangium	9910441
Mergibacter	1886930
Mesobacillus	4974123
Mesoflavibacter	3034103
Mesomycoplasma	1067003
Mesorhizobium	6914818
Mesoterricola	4759641
Mesotoga	2970806
Metabacillus	5317541
Metallosphaera	2198956
Metallumcola	3720236
Metasolibacillus	3860435
Methanimicrococcus	2010282
Methanobacterium	2466450
Methanobrevibacter	2116021
Methanocaldococcus	1607889
Methanocella	2838663
Methanococcoides	2487943
Methanococcus	1722485
